text,url
Shop Women's,https://www.nike.com/hu/en/w/womens-black-friday-2phlmz5e1x6
Shop Kids',https://www.nike.com/hu/en/w/kids-black-friday-2phlmzv4dh
Shop,https://www.nike.com/hu/en/w/lifestyle-shoes-13jrmzy7ok
Shop,https://www.nike.com/hu/en/w/cold-weather-7t42q
Shop,https://www.nike.com/hu/en/w/performance-3k7dg
Shop,https://www.nike.com/hu/en/w/jordan-37eef
Shop Men's,https://www.nike.com/hu/en/w/mens-black-friday-2phlmznik1
Shop Women's,https://www.nike.com/hu/en/w/womens-black-friday-2phlmz5e1x6
Shop Kids',https://www.nike.com/hu/en/w/kids-black-friday-2phlmzv4dh
Shop,https://www.nike.com/hu/en/w/lifestyle-shoes-13jrmzy7ok
Shop,https://www.nike.com/hu/en/w/cold-weather-7t42q
Shop,https://www.nike.com/hu/en/w/performance-3k7dg
Shop,https://www.nike.com/hu/en/w/jordan-37eef
Air Force 1,https://www.nike.com/hu/en/w/air-force-1-shoes-5sj3yzy7ok
Air Max,https://www.nike.com/hu/en/w/air-max-shoes-a6d8hzy7ok
P-6000,https://www.nike.com/hu/en/w/nike-p-6000-shoes-4ff6czy7ok
Shox,https://www.nike.com/hu/en/w/shox-shoes-7e8jqzy7ok
Air Jordan,https://www.nike.com/hu/en/w/jordan-shoes-37eefzy7ok
Pegasus,https://www.nike.com/hu/en/w/pegasus-running-37v7jz5e1x6z8nexhznik1
Vomero,https://www.nike.com/hu/en/w/zoom-vomero-shoes-7gee1zy7ok
Metcon,https://www.nike.com/hu/en/w/metcon-shoes-3yxqszy7ok
Mercurial,https://www.nike.com/hu/en/w/mercurial-football-shoes-1gdj0z4f1bzy7ok
Black Running Shoes,https://www.nike.com/hu/en/w/black-running-shoes-37v7jz90poyzy7ok
White Running Shoes,https://www.nike.com/hu/en/w/white-running-shoes-37v7jz4g797zy7ok
Nike P-6000,https://www.nike.com/hu/en/w/nike-p-6000-shoes-4ff6czy7ok
Nike Initiator Shoes,https://www.nike.com/hu/en/w/nike-initiator-shoes-7ji49zy7ok
V2K Run Trainers,https://www.nike.com/hu/en/w/nike-v2k-shoes-3picezy7ok
Nike Shox,https://www.nike.com/hu/en/w/shox-shoes-7e8jqzy7ok
Nike Waffle Trainers,https://www.nike.com/hu/en/w/nike-waffle-shoes-2wk64zy7ok
Nike Cortez,https://www.nike.com/hu/en/w/cortez-shoes-byfxzy7ok
Nike Vomero,https://www.nike.com/hu/en/w/zoom-vomero-shoes-7gee1zy7ok
Black Trainers,https://www.nike.com/hu/en/w/black-shoes-90poyzy7ok
Nike Motiva Shoes,https://www.nike.com/hu/en/w/nike-motiva-shoes-4tmb6zy7ok
Nike Black Friday Shoes,https://www.nike.com/hu/en/w/black-friday-shoes-2phlmzy7ok
Nike Cyber Monday Shoes,https://www.nike.com/hu/en/w/cyber-monday-shoes-pqs2zy7ok
Shoe Gifts,https://www.nike.com/hu/en/w/gifts-shoes-3b0ufzy7ok
Yoga Trousers,https://www.nike.com/hu/en/w/yoga-trousers-tights-2kq19zanrlj
Tech Fleece Joggers,https://www.nike.com/hu/en/w/tech-fleece-joggers-sweatpants-6sipkzaepf0
Tech Fleece,https://www.nike.com/hu/en/w/tech-fleece-clothing-6sipkz6ymx6
Clothing Gifts,https://www.nike.com/hu/en/w/gifts-clothing-3b0ufz6ymx6
Nike Black Friday Clothing,https://www.nike.com/hu/en/w/black-friday-clothing-2phlmz6ymx6
Nike Black Friday Hoodies,https://www.nike.com/hu/en/w/black-friday-hoodies-sweatshirts-2phlmz6rive
Nike Black Friday Jackets,https://www.nike.com/hu/en/w/black-friday-jackets-gilets-2phlmz50r7y
Girls' Black Shoes,https://www.nike.com/hu/en/w/girls-black-shoes-3aqegz90poyzy7ok
Kids' Black Shoes,https://www.nike.com/hu/en/w/kids-black-shoes-90poyzv4dhzy7ok
Football Club Teams,https://www.nike.com/hu/en/w/club-football-teams-6fu9q
Football,https://www.nike.com/hu/en/w/football-1gdj0
Nike England,https://www.nike.com/hu/en/w/england-8p57d
Gift Ideas,https://www.nike.com/hu/en/w/gifts-3b0uf
Gifts Under £100,https://www.nike.com/hu/en/w/gifts-50-100-3b0ufz5hfwm
Gifts Under £50,https://www.nike.com/hu/en/w/gifts-under-50-3b0ufz4i9h
Nike By You Shoes,https://www.nike.com/hu/en/w/nike-by-you-shoes-6ealhzy7ok
Nike Black Friday,https://www.nike.com/hu/en/w/black-friday-2phlm
Nike Cyber Monday,https://www.nike.com/hu/en/w/cyber-monday-pqs2
